CVE ID,Link,Patch Type,Patch Link (NVD),Base-Score,NVD Published Date
CVE-2023-38248,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38248,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38247,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38247,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38246,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38246,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,7.8 HIGH,08/10/2023
CVE-2023-38245,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38245,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38244,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38244,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38243,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38243,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38242,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38242,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38241,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38241,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38240,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38240,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38239,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38239,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38238,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38238,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38237,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38237,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38236,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38236,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38235,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38235,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38234,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38234,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,7.8 HIGH,08/10/2023
CVE-2023-38233,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38233,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,7.8 HIGH,08/10/2023
CVE-2023-38232,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38232,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38231,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38231,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,7.8 HIGH,08/10/2023
CVE-2023-38230,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38230,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-38229,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38229,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,7.8 HIGH,08/10/2023
CVE-2023-38228,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38228,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,7.8 HIGH,08/10/2023
CVE-2023-38227,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38227,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,7.8 HIGH,08/10/2023
CVE-2023-38226,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38226,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,7.8 HIGH,08/10/2023
CVE-2023-38225,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38225,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,7.8 HIGH,08/10/2023
CVE-2023-38224,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38224,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,7.8 HIGH,08/10/2023
CVE-2023-38223,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38223,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,7.8 HIGH,08/10/2023
