CVE ID,Link,Patch Type,Patch Link (NVD),Base-Score,NVD Published Date
CVE-2023-43784,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-43784,Vendor Advisory,"https://docs.aws.amazon.com/IAM/latest/UserGuide/security-creds.html
https://talk.plesk.com/threads/why-in-plesk-firehouse-aws-keys-are-public.369925/",7.5 HIGH,09/22/2023
CVE-2023-39951,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-39951,Patch,"https://github.com/open-telemetry/opentelemetry-java-instrumentation/issues/8956
https://github.com/open-telemetry/opentelemetry-java-instrumentation/pull/8931
https://github.com/open-telemetry/opentelemetry-java-instrumentation/security/advisories/GHSA-hghr-r469-gfq6",6.5 MEDIUM,08/08/2023
CVE-2023-36467,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-36467,Patch,"https://github.com/awslabs/aws-dataall/pull/472
https://github.com/awslabs/aws-dataall/releases/tag/v1.5.2
https://github.com/awslabs/aws-dataall/releases/tag/v1.5.4
https://github.com/awslabs/aws-dataall/security/advisories/GHSA-m922-chh7-8qcr",8.0 HIGH,06/28/2023
CVE-2023-33777,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-33777,Vendor Advisory,"https://addons.prestashop.com/fr/marketplace/2501-amazon-market-place.html
https://security.friendsofpresta.org/modules/2023/07/13/amazon.html?_sm_pdc=1&_sm_rid=8j3vvHn3kPrR9r7QVvHpFPR9WHVDpvvHP9PLPMj",5.3 MEDIUM,07/24/2023
CVE-2023-33248,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-33248,NA,Patch Not Available,7.6 HIGH,05/24/2023
CVE-2023-32751,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-32751,NA,Patch Not Available,5.4 MEDIUM,06/08/2023
CVE-2023-28937,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-28937,NA,Patch Not Available,8.8 HIGH,05/31/2023
CVE-2023-22680,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22680,NA,Patch Not Available,5.9 MEDIUM,03/20/2023
CVE-2023-1385,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-1385,NA,Patch Not Available,7.1 HIGH,05/03/2023
CVE-2023-1384,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-1384,NA,Patch Not Available,4.3 MEDIUM,05/03/2023
CVE-2023-1383,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-1383,NA,Patch Not Available,5.4 MEDIUM,05/03/2023
CVE-2023-0423,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-0423,NA,Patch Not Available,4.8 MEDIUM,04/10/2023
