CVE ID,Link,Patch Type,Patch Link (NVD),Base-Score,NVD Published Date
CVE-2023-25653,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-25653,Patch,"https://github.com/cisco/node-jose/commit/901d91508a70e3b9bdfc45688ea07bb4e1b8210d
https://github.com/cisco/node-jose/security/advisories/GHSA-5h4j-qrvg-9xhw",7.5 HIGH,02/16/2023
CVE-2023-25120,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-25120,NA,Patch Not Available,7.2 HIGH,07/06/2023
CVE-2023-24451,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-24451,Vendor Advisory,https://www.jenkins.io/security/advisory/2023-01-24/#SECURITY-2803,4.3 MEDIUM,01/26/2023
CVE-2023-22809,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22809,Vendor Advisory,"https://lists.debian.org/debian-lts-announce/2023/01/msg00012.html
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/2QDGFCGAV5QRJCE6IXRXIS4XJHS57DDH/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/G4YNBTTKTRT2ME3NTSXAPTOKYUE47XHZ/
https://security.gentoo.org/glsa/202305-12
https://security.netapp.com/advisory/ntap-20230127-0015/
https://support.apple.com/kb/HT213758
https://www.debian.org/security/2023/dsa-5321
https://www.sudo.ws/security/advisories/sudoedit_any/
https://www.synacktiv.com/sites/default/files/2023-01/sudo-CVE-2023-22809.pdf",7.8 HIGH,01/18/2023
CVE-2023-20269,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20269,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asaftd-ravpn-auth-8LyfCkeC,5.0 MEDIUM,09/06/2023
CVE-2023-20268,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20268,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ap-dos-capwap-DDMCZS4m,4.7 MEDIUM,09/27/2023
CVE-2023-20266,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20266,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cucm-priv-esc-D8Bky5eg,6.5 MEDIUM,08/30/2023
CVE-2023-20263,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20263,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-hyperflex-redirect-UxLgqdUF,4.7 MEDIUM,09/06/2023
CVE-2023-20262,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20262,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vman-sc-LRLfu2z,5.3 MEDIUM,09/27/2023
CVE-2023-20259,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20259,NA,Patch Not Available,8.6 HIGH,10/04/2023
CVE-2023-20254,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20254,Patch,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vman-sc-LRLfu2z,7.2 HIGH,09/27/2023
CVE-2023-20253,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20253,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vman-sc-LRLfu2z,7.1 HIGH,09/27/2023
CVE-2023-20252,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20252,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vman-sc-LRLfu2z,9.8 CRITICAL,09/27/2023
CVE-2023-20251,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20251,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cbw-dos-YSmbUqX3,6.1 MEDIUM,09/27/2023
CVE-2023-20250,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20250,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sb-rv-stack-SHYv2f5N,6.5 MEDIUM,09/06/2023
CVE-2023-20243,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20243,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ise-radius-dos-W7cNn7gt,8.6 HIGH,09/06/2023
CVE-2023-20242,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20242,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-cucm-imp-xss-QtT4VdsK,4.8 MEDIUM,08/16/2023
CVE-2023-20238,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20238,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-bw-auth-bypass-kCggMWhX,10.0 CRITICAL,09/06/2023
CVE-2023-20237,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20237,Patch,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-intersight-forward-C45ncgqb,4.3 MEDIUM,08/16/2023
CVE-2023-20236,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20236,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-iosxr-ipxe-sigbypass-pymfyqgB,6.7 MEDIUM,09/13/2023
CVE-2023-20235,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20235,NA,Patch Not Available,6.5 MEDIUM,10/04/2023
CVE-2023-20234,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20234,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-fxos-arbitrary-file-BLk6YupL,4.4 MEDIUM,08/23/2023
CVE-2023-20233,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-20233,Vendor Advisory,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ios-xr-cfm-3pWN8MKt,4.3 MEDIUM,09/13/2023
