CVE ID,Link,Patch Type,Patch Link (NVD),Base-Score,NVD Published Date
CVE-2023-5346,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-5346,Vendor Advisory,"https://chromereleases.googleblog.com/2023/10/stable-channel-update-for-desktop.html
https://crbug.com/1485829
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/BMFDRMWMT6ZBLGLLWSWHHRAUBOSUXQDR/",8.8 HIGH,10/05/2023
CVE-2023-5217,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-5217,Patch,"https://arstechnica.com/security/2023/09/new-0-day-in-chrome-and-firefox-is-likely-to-plague-other-software/
https://bugzilla.redhat.com/show_bug.cgi?id=2241191
https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_27.html
https://crbug.com/1486441
https://github.com/webmproject/libvpx/commit/3fbd1dca6a4d2dad332a2110d646e4ffef36d590
https://github.com/webmproject/libvpx/commit/af6dedd715f4307669366944cca6e0417b290282
https://github.com/webmproject/libvpx/releases/tag/v1.13.1
https://github.com/webmproject/libvpx/tags
https://lists.debian.org/debian-lts-announce/2023/09/msg00038.html
https://lists.debian.org/debian-lts-announce/2023/10/msg00001.html
https://lists.debian.org/debian-lts-announce/2023/10/msg00015.html
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/4MFWDFJSSIFKWKNOCTQCFUNZWAXUCSS4/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/55YVCZNAVY3Y5E4DWPWMX2SPKZ2E5SOV/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/AY642Z6JZODQJE7Z62CFREVUHEGCXGPD/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/BCVSHVX2RFBU3RMCUFSATVQEJUFD4Q63/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/CWEJYS5NC7KVFYU3OAMPKQDYN6JQGVK6/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WTRUIS3564P7ZLM2S2IH4Y4KZ327LI4I/
https://pastebin.com/TdkC4pDv
https://security-tracker.debian.org/tracker/CVE-2023-5217
https://security.gentoo.org/glsa/202310-04
https://stackdiary.com/google-discloses-a-webm-vp8-bug-tracked-as-cve-2023-5217/
https://twitter.com/maddiestone/status/1707163313711497266
https://www.debian.org/security/2023/dsa-5508
https://www.debian.org/security/2023/dsa-5509
https://www.debian.org/security/2023/dsa-5510
https://www.mozilla.org/en-US/security/advisories/mfsa2023-44/
https://www.openwall.com/lists/oss-security/2023/09/28/5",8.8 HIGH,09/28/2023
CVE-2023-5187,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-5187,Vendor Advisory,"https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_27.html
https://crbug.com/1475798
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/4MFWDFJSSIFKWKNOCTQCFUNZWAXUCSS4/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/CWEJYS5NC7KVFYU3OAMPKQDYN6JQGVK6/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WTRUIS3564P7ZLM2S2IH4Y4KZ327LI4I/
https://www.debian.org/security/2023/dsa-5508",8.8 HIGH,09/28/2023
CVE-2023-5186,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-5186,Vendor Advisory,"https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_27.html
https://crbug.com/1478889
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/4MFWDFJSSIFKWKNOCTQCFUNZWAXUCSS4/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/CWEJYS5NC7KVFYU3OAMPKQDYN6JQGVK6/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WTRUIS3564P7ZLM2S2IH4Y4KZ327LI4I/
https://www.debian.org/security/2023/dsa-5508",8.8 HIGH,09/28/2023
CVE-2023-5077,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-5077,Vendor Advisory,https://discuss.hashicorp.com/t/hcsec-2023-30-vault-s-google-cloud-secrets-engine-removed-existing-iam-conditions-when-creating-updating-rolesets/58654,7.6 HIGH,09/28/2023
CVE-2023-4909,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-4909,Vendor Advisory,"https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_12.html
https://crbug.com/1463293
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6T655QF7CQ3DYAMPFV7IECQYGDEUIVVT/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/KUQ7CTX3W372X3UY56VVNAHCH6H2F4X3/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WTRUIS3564P7ZLM2S2IH4Y4KZ327LI4I/
https://www.debian.org/security/2023/dsa-5499",4.3 MEDIUM,09/12/2023
CVE-2023-4908,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-4908,Vendor Advisory,"https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_12.html
https://crbug.com/1451543
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6T655QF7CQ3DYAMPFV7IECQYGDEUIVVT/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/KUQ7CTX3W372X3UY56VVNAHCH6H2F4X3/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WTRUIS3564P7ZLM2S2IH4Y4KZ327LI4I/
https://www.debian.org/security/2023/dsa-5499",4.3 MEDIUM,09/12/2023
CVE-2023-4907,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-4907,Vendor Advisory,"https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_12.html
https://crbug.com/1462104
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6T655QF7CQ3DYAMPFV7IECQYGDEUIVVT/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/KUQ7CTX3W372X3UY56VVNAHCH6H2F4X3/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WTRUIS3564P7ZLM2S2IH4Y4KZ327LI4I/
https://www.debian.org/security/2023/dsa-5499",4.3 MEDIUM,09/12/2023
CVE-2023-4906,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-4906,Vendor Advisory,"https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_12.html
https://crbug.com/1449874
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6T655QF7CQ3DYAMPFV7IECQYGDEUIVVT/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/KUQ7CTX3W372X3UY56VVNAHCH6H2F4X3/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WTRUIS3564P7ZLM2S2IH4Y4KZ327LI4I/
https://www.debian.org/security/2023/dsa-5499",4.3 MEDIUM,09/12/2023
CVE-2023-4905,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-4905,Vendor Advisory,"https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_12.html
https://crbug.com/1441228
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6T655QF7CQ3DYAMPFV7IECQYGDEUIVVT/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/KUQ7CTX3W372X3UY56VVNAHCH6H2F4X3/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WTRUIS3564P7ZLM2S2IH4Y4KZ327LI4I/
https://www.debian.org/security/2023/dsa-5499",4.3 MEDIUM,09/12/2023
