CVE ID,Link,Patch Type,Patch Link (NVD),Base-Score,NVD Published Date
CVE-2023-43058,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-43058,NA,Patch Not Available,5.3 MEDIUM,10/06/2023
CVE-2023-43044,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-43044,Vendor Advisory,"https://exchange.xforce.ibmcloud.com/vulnerabilities/266893
https://https://www.ibm.com/support/pages/node/7040605",5.3 MEDIUM,09/28/2023
CVE-2023-40684,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-40684,Vendor Advisory,"https://exchange.xforce.ibmcloud.com/vulnerabilities/264019
https://https://www.ibm.com/support/pages/node/7046226",4.6 MEDIUM,10/04/2023
CVE-2023-40376,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-40376,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/263581
https://www.ibm.com/support/pages/node/7037230",5.3 MEDIUM,10/04/2023
CVE-2023-40375,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-40375,Patch,"https://https://exchange.xforce.ibmcloud.com/vulnerabilities/263580
https://www.ibm.com/support/pages/node/7038748",7.4 HIGH,09/28/2023
CVE-2023-40371,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-40371,Vendor Advisory,"https://exchange.xforce.ibmcloud.com/vulnerabilities/263476
https://www.ibm.com/support/pages/node/7028420",6.2 MEDIUM,08/24/2023
CVE-2023-40370,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-40370,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/263470
https://www.ibm.com/support/pages/node/7028218",3.7 LOW,08/22/2023
CVE-2023-40368,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-40368,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/263456
https://www.ibm.com/support/pages/node/7034288",4.4 MEDIUM,09/20/2023
CVE-2023-38741,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38741,Vendor Advisory,"https://exchange.xforce.ibmcloud.com/vulnerabilities/262905
https://www.ibm.com/support/pages/node/7025476",7.5 HIGH,08/14/2023
CVE-2023-38737,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38737,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/262567
https://www.ibm.com/support/pages/node/7027509",5.9 MEDIUM,08/16/2023
CVE-2023-38736,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38736,Vendor Advisory,"https://exchange.xforce.ibmcloud.com/vulnerabilities/262542
https://www.ibm.com/support/pages/node/7030703",7.5 HIGH,09/08/2023
CVE-2023-38734,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38734,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/262481
https://www.ibm.com/support/pages/node/7028227",6.6 MEDIUM,08/22/2023
CVE-2023-38733,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38733,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/262293
https://www.ibm.com/support/pages/node/7028223",4.3 MEDIUM,08/22/2023
CVE-2023-38732,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38732,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/262289
https://www.ibm.com/support/pages/node/7028221",4.3 MEDIUM,08/22/2023
CVE-2023-38730,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38730,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/262268
https://www.ibm.com/support/pages/node/7028841",5.9 MEDIUM,08/27/2023
CVE-2023-38721,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38721,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/262173
https://www.ibm.com/support/pages/node/7023423",8.4 HIGH,08/14/2023
CVE-2023-38718,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38718,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/261606
https://www.ibm.com/support/pages/node/7031619",3.7 LOW,09/20/2023
CVE-2023-37410,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-37410,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/260138
https://www.ibm.com/support/pages/node/7031707",8.4 HIGH,09/20/2023
CVE-2023-37404,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-37404,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/259789
https://www.ibm.com/support/pages/node/7041863",6.4 MEDIUM,10/03/2023
CVE-2023-35906,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-35906,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/259649
https://www.ibm.com/support/pages/node/7029681",5.3 MEDIUM,09/04/2023
CVE-2023-35905,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-35905,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/259384
https://www.ibm.com/support/pages/node/7014389",4.6 MEDIUM,10/03/2023
CVE-2023-35901,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-35901,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/259380
https://www.ibm.com/support/pages/node/7012317",2.7 LOW,07/16/2023
CVE-2023-35900,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-35900,Patch,"https://exchange.xforce.ibmcloud.com/vulnerabilities/259368
https://www.ibm.com/support/pages/node/7010895",4.3 MEDIUM,07/18/2023
