CVE ID,Link,Patch Type,Patch Link (NVD),Base-Score,NVD Published Date
CVE-2023-41764,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-41764,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-41764,5.5 MEDIUM,09/12/2023
CVE-2023-38245,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-38245,Vendor Advisory,https://helpx.adobe.com/security/products/acrobat/apsb23-30.html,5.5 MEDIUM,08/10/2023
CVE-2023-36866,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-36866,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36866,7.8 HIGH,08/08/2023
CVE-2023-36865,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-36865,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36865,7.8 HIGH,08/08/2023
CVE-2023-36767,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-36767,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36767,4.3 MEDIUM,09/12/2023
CVE-2023-36765,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-36765,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36765,7.8 HIGH,09/12/2023
CVE-2023-35372,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-35372,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35372,7.8 HIGH,08/08/2023
CVE-2023-35371,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-35371,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35371,7.8 HIGH,08/08/2023
CVE-2023-33150,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-33150,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-33150,9.6 CRITICAL,07/11/2023
CVE-2023-33149,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-33149,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-33149,7.8 HIGH,07/11/2023
CVE-2023-33148,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-33148,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-33148,7.8 HIGH,07/11/2023
CVE-2023-33146,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-33146,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-33146,7.8 HIGH,06/13/2023
CVE-2023-29344,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-29344,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29344,7.8 HIGH,06/05/2023
CVE-2023-28285,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-28285,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-28285,7.8 HIGH,04/11/2023
CVE-2023-21741,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-21741,NA,Patch Not Available,7.1 HIGH,01/10/2023
CVE-2023-21738,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-21738,NA,Patch Not Available,7.8 HIGH,01/10/2023
CVE-2023-21737,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-21737,NA,Patch Not Available,7.8 HIGH,01/10/2023
CVE-2023-21736,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-21736,NA,Patch Not Available,7.8 HIGH,01/10/2023
CVE-2023-21735,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-21735,NA,Patch Not Available,7.8 HIGH,01/10/2023
CVE-2023-21734,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-21734,NA,Patch Not Available,7.8 HIGH,01/10/2023
CVE-2023-21714,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-21714,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-21714,5.5 MEDIUM,02/14/2023
CVE-2022-47213,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-47213,NA,Patch Not Available,7.8 HIGH,12/13/2022
CVE-2022-47212,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-47212,NA,Patch Not Available,7.8 HIGH,12/13/2022
CVE-2022-47211,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-47211,Patch,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-47211,7.8 HIGH,12/13/2022
CVE-2022-44696,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-44696,NA,Patch Not Available,7.8 HIGH,12/13/2022
CVE-2022-44695,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-44695,NA,Patch Not Available,7.8 HIGH,12/13/2022
CVE-2022-44694,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-44694,NA,Patch Not Available,7.8 HIGH,12/13/2022
CVE-2022-44692,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-44692,NA,Patch Not Available,7.8 HIGH,12/13/2022
CVE-2022-44691,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-44691,NA,Patch Not Available,7.8 HIGH,12/13/2022
CVE-2022-41107,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-41107,NA,Patch Not Available,7.8 HIGH,11/09/2022
