CVE ID,Link,Patch Type,Patch Link (NVD),Base-Score,NVD Published Date
CVE-2023-40033,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-40033,Patch,"https://github.com/flarum/framework/commit/d1059c1cc79fe61f9538f3da55e8f42abbede570
https://github.com/flarum/framework/security/advisories/GHSA-67c6-q4j4-hccg",7.1 HIGH,08/16/2023
CVE-2023-37948,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-37948,Vendor Advisory,https://www.jenkins.io/security/advisory/2023-07-12/#SECURITY-3044,3.7 LOW,07/12/2023
CVE-2023-3440,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-3440,NA,Patch Not Available,8.4 HIGH,10/02/2023
CVE-2023-34364,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-34364,Vendor Advisory,"https://community.progress.com/s/article/Security-vulnerabilities-in-DataDirect-ODBC-Oracle-Wire-Protocol-driver-June-2023
https://progress.com",9.8 CRITICAL,06/09/2023
CVE-2023-34363,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-34363,Vendor Advisory,"https://community.progress.com/s/article/Security-vulnerabilities-in-DataDirect-ODBC-Oracle-Wire-Protocol-driver-June-2023
https://progress.com",5.9 MEDIUM,06/09/2023
CVE-2023-23951,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-23951,Vendor Advisory,https://support.broadcom.com/external/content/SecurityAdvisories/0/21174,6.1 MEDIUM,01/26/2023
CVE-2023-22062,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22062,Patch,https://www.oracle.com/security-alerts/cpujul2023.html,8.5 HIGH,07/18/2023
CVE-2023-22061,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22061,Patch,https://www.oracle.com/security-alerts/cpujul2023.html,5.4 MEDIUM,07/18/2023
CVE-2023-22060,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22060,Patch,https://www.oracle.com/security-alerts/cpujul2023.html,7.6 HIGH,07/18/2023
CVE-2023-22058,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-22058,Vendor Advisory,"https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/C63HAGVLQA6FJNDCHR7CNZZL6VSLILB2/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/JEHRBBYYTPA4DETOM5XAKGCP37NUTLOA/
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/QYLDK6ODVC4LJSDULLX6Q2YHTFOWABCN/
https://security.netapp.com/advisory/ntap-20230725-0005/
https://www.oracle.com/security-alerts/cpujul2023.html",4.4 MEDIUM,07/18/2023
